"gene_type"	"gene_name"
"lncRNA"	"AC084116.3"
"protein_coding"	"LRATD2"
"lncRNA"	"PCAT1"
"lncRNA"	"AC024382.1"
"lncRNA"	"CASC19"
"lncRNA"	"PRNCR1"
"lncRNA"	"AC018714.2"
"lncRNA"	"CASC8"
"protein_coding"	"POU5F1B"
"lncRNA"	"CCAT2"
"lncRNA"	"AC104370.1"
"lncRNA"	"AC108925.1"
"lncRNA"	"CASC11"
"protein_coding"	"MYC"
"lncRNA"	"PVT1"
"lncRNA"	"AC100822.1"
"lncRNA"	"LINC00824"
"lncRNA"	"CCDC26"
"lncRNA"	"AC103833.2"
"lncRNA"	"AC011257.1"
"lncRNA"	"AC103718.1"
"protein_coding"	"GSDMC"
"lncRNA"	"AC022973.5"
"protein_coding"	"FAM49B"
"lncRNA"	"AC022973.4"
"lncRNA"	"AC022973.3"
"lncRNA"	"AC131568.1"
"protein_coding"	"ASAP1"
"lncRNA"	"ASAP1-IT2"
"lncRNA"	"AC009682.1"
"lncRNA"	"AC139019.1"
"lncRNA"	"AC090987.1"
"protein_coding"	"ADCY8"
"lncRNA"	"AC103726.1"
"lncRNA"	"AC103726.2"
"lncRNA"	"AC087341.1"
"lncRNA"	"AC104257.1"
"protein_coding"	"EFR3A"
"protein_coding"	"OC90"
"protein_coding"	"HHLA1"
"protein_coding"	"KCNQ3"
"lncRNA"	"HPYR1"
"protein_coding"	"LRRC6"
"protein_coding"	"TMEM71"
"lncRNA"	"AF228727.1"
"protein_coding"	"PHF20L1"
"lncRNA"	"AF230666.2"
"lncRNA"	"AF230666.1"
"protein_coding"	"TG"
"protein_coding"	"SLA"
"lncRNA"	"AF305872.2"
"protein_coding"	"CCN4"
"protein_coding"	"NDRG1"
"protein_coding"	"ST3GAL1"
"lncRNA"	"AC103706.1"
"lncRNA"	"AC133634.1"
"lncRNA"	"AC090821.2"
"lncRNA"	"AC110741.1"
"lncRNA"	"AC105180.2"
"lncRNA"	"AC105180.1"
"protein_coding"	"ZFAT"
"lncRNA"	"ZFAT-AS1"
"lncRNA"	"AC087045.2"
"lncRNA"	"AC083843.3"
"lncRNA"	"AC083843.2"
"lncRNA"	"AC083843.1"
"lncRNA"	"AC103764.1"
"lncRNA"	"LINC01591"
"lncRNA"	"AC040914.1"
"protein_coding"	"KHDRBS3"
"lncRNA"	"LINC02055"
"lncRNA"	"AC103955.1"
"lncRNA"	"AC023781.1"
"lncRNA"	"AC105213.1"
"lncRNA"	"AC046195.1"
"lncRNA"	"AC046195.2"
"lncRNA"	"AC079015.1"
"protein_coding"	"FAM135B"
"protein_coding"	"COL22A1"
"lncRNA"	"AC027541.1"
"lncRNA"	"AC100807.2"
"lncRNA"	"AC087354.1"
"protein_coding"	"KCNK9"
"protein_coding"	"TRAPPC9"
"lncRNA"	"AC021744.1"
"lncRNA"	"PEG13"
"lncRNA"	"AC107375.1"
"protein_coding"	"CHRAC1"
"protein_coding"	"AGO2"
"lncRNA"	"ERICD"
"protein_coding"	"PTK2"
"lncRNA"	"AC100860.1"
"protein_coding"	"DENND3"
"lncRNA"	"AC040970.1"
"protein_coding"	"SLC45A4"
"lncRNA"	"AC011676.1"
"lncRNA"	"AC011676.2"
"lncRNA"	"AC011676.3"
"lncRNA"	"AC011676.4"
"lncRNA"	"LINC01300"
"lncRNA"	"AC100803.3"
"protein_coding"	"GPR20"
"lncRNA"	"AC100803.2"
"protein_coding"	"PTP4A3"
"lncRNA"	"AC100803.4"
"lncRNA"	"AC138647.2"
"protein_coding"	"AC138647.1"
"lncRNA"	"AC025839.1"
"lncRNA"	"AC104417.2"
"lncRNA"	"AC103758.1"
"lncRNA"	"LINC00051"
"protein_coding"	"TSNARE1"
"lncRNA"	"AC134682.1"
"protein_coding"	"ADGRB1"
"protein_coding"	"ARC"
"lncRNA"	"AP006547.1"
"lncRNA"	"AC108002.2"
"protein_coding"	"JRK"
"protein_coding"	"PSCA"
"protein_coding"	"LY6K"
"lncRNA"	"LNCOC1"
"protein_coding"	"THEM6"
"lncRNA"	"AC108002.1"
"protein_coding"	"SLURP1"
"protein_coding"	"LYPD2"
"lncRNA"	"AC083841.1"
"protein_coding"	"SLURP2"
"protein_coding"	"LYNX1"
"protein_coding"	"LY6D"
"lncRNA"	"AC083841.2"
"lncRNA"	"AC083841.3"
"protein_coding"	"GML"
"protein_coding"	"CYP11B1"
"protein_coding"	"CYP11B2"
"lncRNA"	"LY6E-DT"
"protein_coding"	"LY6E"
"lncRNA"	"C8orf31"
"protein_coding"	"LY6L"
"protein_coding"	"LY6H"
"protein_coding"	"GPIHBP1"
"protein_coding"	"ZFP41"
"protein_coding"	"GLI4"
"lncRNA"	"MINCR"
"protein_coding"	"ZNF696"
"lncRNA"	"AC138696.2"
"protein_coding"	"TOP1MT"
"lncRNA"	"RHPN1-AS1"
"protein_coding"	"RHPN1"
"lncRNA"	"AC105118.1"
"lncRNA"	"MAFA-AS1"
"protein_coding"	"MAFA"
"protein_coding"	"ZC3H3"
"lncRNA"	"AC067930.8"
"lncRNA"	"AC067930.3"
"protein_coding"	"GSDMD"
"protein_coding"	"MROH6"
"lncRNA"	"AC067930.4"
"protein_coding"	"NAPRT"
"lncRNA"	"AC067930.1"
"protein_coding"	"EEF1D"
"protein_coding"	"TIGD5"
"protein_coding"	"PYCR3"
"protein_coding"	"TSTA3"
"lncRNA"	"AC067930.2"
"protein_coding"	"ZNF623"
"protein_coding"	"ZNF707"
"lncRNA"	"AC105219.1"
"protein_coding"	"CCDC166"
"lncRNA"	"AC105219.3"
"protein_coding"	"MAPK15"
"lncRNA"	"AC105219.2"
"protein_coding"	"FAM83H"
"protein_coding"	"IQANK1"
"lncRNA"	"AC105219.4"
"protein_coding"	"SCRIB"
"protein_coding"	"PUF60"
"lncRNA"	"AC234917.3"
"lncRNA"	"AC234917.1"
"protein_coding"	"NRBP2"
"lncRNA"	"AC234917.2"
"protein_coding"	"EPPK1"
"lncRNA"	"AC109322.2"
"protein_coding"	"PLEC"
"protein_coding"	"PARP10"
"protein_coding"	"GRINA"
"protein_coding"	"SPATC1"
"protein_coding"	"OPLAH"
"lncRNA"	"AC109322.1"
"protein_coding"	"EXOSC4"
"protein_coding"	"GPAA1"
"protein_coding"	"CYC1"
"protein_coding"	"SHARPIN"
"protein_coding"	"MAF1"
"protein_coding"	"WDR97"
"protein_coding"	"HGH1"
"protein_coding"	"MROH1"
"protein_coding"	"BOP1"
"protein_coding"	"SCX"
"protein_coding"	"HSF1"
"protein_coding"	"DGAT1"
"lncRNA"	"AC233992.1"
"protein_coding"	"SCRT1"
"protein_coding"	"TMEM249"
"protein_coding"	"SLC52A2"
"protein_coding"	"FBXL6"
"protein_coding"	"ADCK5"
"protein_coding"	"CPSF1"
"lncRNA"	"AC233992.3"
"protein_coding"	"SLC39A4"
"protein_coding"	"VPS28"
"protein_coding"	"TONSL"
"lncRNA"	"TONSL-AS1"
"protein_coding"	"CYHR1"
"lncRNA"	"AC084125.1"
"protein_coding"	"KIFC2"
"protein_coding"	"FOXH1"
"protein_coding"	"PPP1R16A"
"lncRNA"	"AC084125.2"
"protein_coding"	"GPT"
"protein_coding"	"MFSD3"
"protein_coding"	"RECQL4"
"lncRNA"	"AC084125.4"
"protein_coding"	"LRRC14"
"protein_coding"	"LRRC24"
"protein_coding"	"C8orf82"
"protein_coding"	"ARHGAP39"
"lncRNA"	"AC084125.3"
"lncRNA"	"AF186192.1"
"lncRNA"	"AF186192.3"
"protein_coding"	"ZNF251"
"protein_coding"	"ZNF34"
"protein_coding"	"RPL8"
"protein_coding"	"ZNF517"
"protein_coding"	"ZNF7"
"protein_coding"	"COMMD5"
"lncRNA"	"AF235103.3"
"protein_coding"	"ZNF250"
"protein_coding"	"ZNF16"
"lncRNA"	"AF235103.1"
"lncRNA"	"ZNF252P-AS1"
"protein_coding"	"C8orf33"
"protein_coding"	"WASHC1"
"lncRNA"	"AL928970.1"
"lncRNA"	"FAM138C"
"lncRNA"	"PGM5P3-AS1"
"lncRNA"	"AL449043.1"
"lncRNA"	"LINC01388"
"protein_coding"	"FOXD4"
"protein_coding"	"CBWD1"
"lncRNA"	"AL158832.2"
"lncRNA"	"DOCK8-AS1"
"protein_coding"	"DOCK8"
"lncRNA"	"AL158832.1"
"lncRNA"	"AL161725.1"
"protein_coding"	"KANK1"
"lncRNA"	"AL161725.2"
"lncRNA"	"AL392089.1"
"lncRNA"	"AL136979.1"
"protein_coding"	"DMRT1"
"protein_coding"	"DMRT3"
"lncRNA"	"AL358976.2"
"lncRNA"	"LINC01230"
"protein_coding"	"DMRT2"
"lncRNA"	"AL358053.1"
"protein_coding"	"SMARCA2"
"lncRNA"	"AL359076.1"
"lncRNA"	"VLDLR-AS1"
"lncRNA"	"AL353614.1"
"protein_coding"	"VLDLR"
"lncRNA"	"AL450467.1"
"protein_coding"	"KCNV2"
"protein_coding"	"PUM3"
"lncRNA"	"LINC01231"
"protein_coding"	"RFX3"
"lncRNA"	"RFX3-AS1"
"lncRNA"	"AL354977.2"
"lncRNA"	"AL354977.1"
"protein_coding"	"GLIS3"
"lncRNA"	"AL137071.1"
"lncRNA"	"GLIS3-AS1"
"lncRNA"	"AL359095.1"
"lncRNA"	"AL162419.1"
"protein_coding"	"SLC1A1"
"protein_coding"	"SPATA6L"
"protein_coding"	"PLPP6"
"lncRNA"	"CDC37L1-DT"
"protein_coding"	"CDC37L1"
"protein_coding"	"AK3"
"lncRNA"	"AL353151.2"
"protein_coding"	"RCL1"
"lncRNA"	"AL158147.1"
"protein_coding"	"JAK2"
"IG_C_pseudogene"	"IGHEP2"
"protein_coding"	"INSL6"
"protein_coding"	"INSL4"
"protein_coding"	"RLN2"
"protein_coding"	"RLN1"
"lncRNA"	"AL135786.2"
"protein_coding"	"PLGRKT"
"protein_coding"	"CD274"
"lncRNA"	"AL162253.2"
"protein_coding"	"PDCD1LG2"
"lncRNA"	"AL162253.1"
"protein_coding"	"RIC1"
"lncRNA"	"AL136980.1"
"protein_coding"	"ERMP1"
"protein_coding"	"KIAA2026"
"protein_coding"	"MLANA"
"protein_coding"	"RANBP6"
"lncRNA"	"AL162384.1"
"protein_coding"	"IL33"
"protein_coding"	"TPD52L3"
"protein_coding"	"UHRF2"
"lncRNA"	"AL133480.1"
"protein_coding"	"GLDC"
"lncRNA"	"AL162411.1"
"lncRNA"	"LINC02851"
"lncRNA"	"AL354707.1"
"protein_coding"	"KDM4C"
"lncRNA"	"AL513412.1"
"lncRNA"	"AL161443.1"
"lncRNA"	"AL157703.1"
"lncRNA"	"AL354694.1"
"protein_coding"	"DMAC1"
"lncRNA"	"AL135923.2"
"lncRNA"	"AL135923.1"
"protein_coding"	"PTPRD"
"lncRNA"	"AL583805.2"
"lncRNA"	"PTPRD-AS1"
"lncRNA"	"AL596451.1"
"lncRNA"	"AL513422.1"
"lncRNA"	"PTPRD-AS2"
"lncRNA"	"AL135790.1"
"lncRNA"	"AL162413.1"
"lncRNA"	"AL451129.1"
"lncRNA"	"AL355672.1"
"lncRNA"	"AL353595.1"
"lncRNA"	"AL589678.1"
"protein_coding"	"TYRP1"
"lncRNA"	"LURAP1L-AS1"
"protein_coding"	"LURAP1L"
"lncRNA"	"AL161449.2"
"protein_coding"	"MPDZ"
"lncRNA"	"AL162386.2"
"lncRNA"	"AL583785.1"
"lncRNA"	"LINC01235"
"lncRNA"	"LINC00583"
"lncRNA"	"AL360089.1"
"protein_coding"	"NFIB"
"lncRNA"	"AL136366.1"
"lncRNA"	"AL137017.1"
"lncRNA"	"AL159169.3"
"lncRNA"	"AL159169.2"
"protein_coding"	"ZDHHC21"
"protein_coding"	"CER1"
"protein_coding"	"FREM1"
"lncRNA"	"AL512643.2"
"lncRNA"	"AL512643.1"
"protein_coding"	"TTC39B"
"protein_coding"	"SNAPC3"
"protein_coding"	"PSIP1"
"protein_coding"	"CCDC171"
"protein_coding"	"C9orf92"
"protein_coding"	"BNC2"
"lncRNA"	"AL449983.1"
"lncRNA"	"AL450003.1"
"lncRNA"	"BNC2-AS1"
"lncRNA"	"AL162725.2"
"lncRNA"	"AL358117.1"
"protein_coding"	"CNTLN"
"protein_coding"	"SH3GL2"
"protein_coding"	"ADAMTSL1"
"lncRNA"	"AL442638.1"
"protein_coding"	"SAXO1"
"protein_coding"	"RRAGA"
"protein_coding"	"HAUS6"
"protein_coding"	"PLIN2"
"protein_coding"	"DENND4C"
"lncRNA"	"AL161909.2"
"lncRNA"	"AL391834.1"
"lncRNA"	"AL391834.2"
"protein_coding"	"RPS6"
"lncRNA"	"AL391834.3"
"protein_coding"	"ACER2"
"lncRNA"	"AL158206.1"
"protein_coding"	"SLC24A2"
"lncRNA"	"AL158077.2"
"lncRNA"	"AL591222.1"
"protein_coding"	"MLLT3"
"protein_coding"	"FOCAD"
"lncRNA"	"FOCAD-AS1"
"protein_coding"	"HACD4"
"protein_coding"	"IFNB1"
"protein_coding"	"IFNW1"
"protein_coding"	"IFNA21"
"protein_coding"	"IFNA4"
"protein_coding"	"IFNA7"
"protein_coding"	"IFNA10"
"protein_coding"	"IFNA16"
"protein_coding"	"IFNA17"
"protein_coding"	"IFNA14"
"protein_coding"	"IFNA5"
"protein_coding"	"KLHL9"
"protein_coding"	"IFNA6"
"protein_coding"	"IFNA13"
"protein_coding"	"IFNA2"
"lncRNA"	"AL353732.1"
"protein_coding"	"IFNA8"
"lncRNA"	"MIR31HG"
"protein_coding"	"IFNA1"
"protein_coding"	"IFNE"
"protein_coding"	"MTAP"
"lncRNA"	"AL359922.2"
"lncRNA"	"CDKN2A-DT"
"protein_coding"	"CDKN2A"
"lncRNA"	"CDKN2B-AS1"
"lncRNA"	"AL449423.1"
"protein_coding"	"CDKN2B"
"lncRNA"	"AL157937.1"
"protein_coding"	"DMRTA1"
"lncRNA"	"LINC01239"
"lncRNA"	"AL391117.1"
"lncRNA"	"AC017067.1"
"lncRNA"	"AL357614.1"
"lncRNA"	"AL445623.2"
"lncRNA"	"AL445623.1"
"protein_coding"	"ELAVL2"
"lncRNA"	"AL161628.1"
"lncRNA"	"AL365204.1"
"lncRNA"	"AL365204.2"
"lncRNA"	"AL513317.1"
"protein_coding"	"IZUMO3"
"lncRNA"	"AL353811.1"
"lncRNA"	"AL353730.1"
"protein_coding"	"TUSC1"
"lncRNA"	"LINC01241"
"lncRNA"	"AL353753.1"
"lncRNA"	"AL451137.2"
"lncRNA"	"AL356133.2"
"protein_coding"	"CAAP1"
"protein_coding"	"PLAA"
"protein_coding"	"IFT74"
"lncRNA"	"IFT74-AS1"
"protein_coding"	"LRRC19"
"lncRNA"	"AL355432.1"
"protein_coding"	"TEK"
"protein_coding"	"EQTN"
"protein_coding"	"MOB3B"
"lncRNA"	"AL163192.1"
"lncRNA"	"AL451123.2"
"protein_coding"	"IFNK"
"lncRNA"	"AL451123.1"
"protein_coding"	"C9orf72"
"lncRNA"	"AL360014.1"
"lncRNA"	"AL353746.1"
"protein_coding"	"LINGO2"
"lncRNA"	"AL445526.1"
"lncRNA"	"AL162388.2"
"lncRNA"	"LINC01242"
"lncRNA"	"LINC01243"
"protein_coding"	"ACO1"
"protein_coding"	"DDX58"
"protein_coding"	"TOPORS"
"protein_coding"	"SMIM27"
"protein_coding"	"NDUFB6"
"protein_coding"	"TAF1L"
"lncRNA"	"AL589642.1"
"lncRNA"	"AL589642.2"
"protein_coding"	"TMEM215"
"lncRNA"	"AL157884.2"
"protein_coding"	"APTX"
"protein_coding"	"DNAJA1"
"protein_coding"	"SMU1"
"protein_coding"	"B4GALT1"
"lncRNA"	"B4GALT1-AS1"
"protein_coding"	"SPINK4"
"protein_coding"	"BAG1"
"protein_coding"	"CHMP5"
"protein_coding"	"NFX1"
"protein_coding"	"AQP7"
"lncRNA"	"AL356218.2"
"protein_coding"	"AQP3"
"protein_coding"	"NOL6"
"lncRNA"	"AL139008.2"
"protein_coding"	"ANKRD18B"
"lncRNA"	"CYP4F26P"
"TR_V_gene"	"TRBV20OR9-2"
"TR_V_pseudogene"	"TRBV21OR9-2"
"TR_V_pseudogene"	"TRBV22OR9-2"
"TR_V_pseudogene"	"TRBV23OR9-2"
"TR_V_pseudogene"	"TRBV24OR9-2"
"TR_V_pseudogene"	"TRBV25OR9-2"
"lncRNA"	"PTENP1-AS"
"TR_V_pseudogene"	"TRBV26OR9-2"
"lncRNA"	"AL356489.2"
"lncRNA"	"AL356489.3"
"lncRNA"	"AL356489.1"
"lncRNA"	"AL356489.4"
"lncRNA"	"LINC01251"
"protein_coding"	"PRSS3"
"lncRNA"	"UBE2R2-AS1"
"TR_V_pseudogene"	"TRBV29OR9-2"
"protein_coding"	"UBE2R2"
"protein_coding"	"UBAP2"
"lncRNA"	"AL354989.1"
"protein_coding"	"DCAF12"
"protein_coding"	"UBAP1"
"protein_coding"	"KIF24"
"protein_coding"	"NUDT2"
"protein_coding"	"MYORG"
"protein_coding"	"C9orf24"
"protein_coding"	"FAM219A"
"protein_coding"	"DNAI1"
"protein_coding"	"ENHO"
"lncRNA"	"AL160270.1"
"protein_coding"	"CNTFR"
"lncRNA"	"CNTFR-AS1"
"protein_coding"	"RPP25L"
"protein_coding"	"DCTN3"
"protein_coding"	"ARID3C"
"protein_coding"	"SIGMAR1"
"protein_coding"	"GALT"
"protein_coding"	"IL11RA"
"protein_coding"	"CCL27"
"protein_coding"	"AL162231.1"
"lncRNA"	"AL162231.2"
"protein_coding"	"CCL19"
"protein_coding"	"CCL21"
"protein_coding"	"FAM205A"
"lncRNA"	"AL589645.1"
"protein_coding"	"FAM205C"
"protein_coding"	"PHF24"
"lncRNA"	"DNAJB5-DT"
"protein_coding"	"DNAJB5"
"lncRNA"	"AL355377.3"
"lncRNA"	"AL355377.4"
"protein_coding"	"C9orf131"
"protein_coding"	"VCP"
"protein_coding"	"FANCG"
"protein_coding"	"PIGO"
"lncRNA"	"AL353795.2"
"protein_coding"	"STOML2"
"protein_coding"	"FAM214B"
"protein_coding"	"UNC13B"
"protein_coding"	"RUSC2"
"lncRNA"	"AL133476.1"
"protein_coding"	"FAM166B"
"protein_coding"	"TESK1"
"protein_coding"	"CD72"
"lncRNA"	"AL357874.2"
"lncRNA"	"AL357874.1"
"protein_coding"	"SIT1"
"lncRNA"	"RMRP"
"protein_coding"	"CCDC107"
"protein_coding"	"ARHGEF39"
"protein_coding"	"CA9"
"protein_coding"	"TPM2"
"protein_coding"	"TLN1"
"protein_coding"	"CREB3"
"protein_coding"	"GBA2"
"protein_coding"	"RGP1"
"protein_coding"	"MSMP"
"lncRNA"	"AL133410.2"
"lncRNA"	"AL133410.1"
"protein_coding"	"NPR2"
"protein_coding"	"SPAG8"
"protein_coding"	"HINT2"
"protein_coding"	"TMEM8B"
"protein_coding"	"FAM221B"
"protein_coding"	"OR13J1"
"protein_coding"	"HRCT1"
"protein_coding"	"SPAAR"
"lncRNA"	"AL135841.1"
"protein_coding"	"OR2S2"
"protein_coding"	"RECK"
"protein_coding"	"GLIPR2"
"protein_coding"	"CCIN"
"protein_coding"	"CLTA"
"protein_coding"	"GNE"
"protein_coding"	"RNF38"
"protein_coding"	"MELK"
"lncRNA"	"AL450267.2"
"protein_coding"	"PAX5"
"lncRNA"	"AL450267.1"
"lncRNA"	"AL161781.2"
"lncRNA"	"LINC01400"
"lncRNA"	"AL512604.3"
"lncRNA"	"EBLN3P"
"lncRNA"	"AL512604.2"
"protein_coding"	"ZCCHC7"
"lncRNA"	"LINC01627"
"protein_coding"	"GRHPR"
"protein_coding"	"ZBTB5"
"protein_coding"	"POLR1E"
"lncRNA"	"AL513165.1"
"protein_coding"	"FBXO10"
"protein_coding"	"TOMM5"
"protein_coding"	"FRMPD1"
"protein_coding"	"TRMT10B"
"protein_coding"	"EXOSC3"
"protein_coding"	"DCAF10"
"protein_coding"	"SLC25A51"
"protein_coding"	"SHB"
"lncRNA"	"AL135785.1"
"protein_coding"	"ALDH1B1"
"protein_coding"	"IGFBPL1"
"protein_coding"	"ANKRD18A"
"lncRNA"	"FAM201A"
"lncRNA"	"AL591543.1"
"protein_coding"	"FAM240B"
"lncRNA"	"AL845311.1"
"lncRNA"	"AL953883.1"
"protein_coding"	"CNTNAP3"
"protein_coding"	"SPATA31A1"
"lncRNA"	"FAM74A1"
"lncRNA"	"BX005214.1"
"lncRNA"	"BX005214.2"
"lncRNA"	"GLIDR"
"protein_coding"	"BX664615.2"
"lncRNA"	"AL773545.1"
"protein_coding"	"ANKRD20A2"
"lncRNA"	"BX664727.3"
"lncRNA"	"BMS1P14"
"lncRNA"	"FP325318.1"
"IG_V_pseudogene"	"IGKV1OR9-2"
"lncRNA"	"AL353626.1"
"lncRNA"	"BX255923.1"
"lncRNA"	"BX255923.2"
"protein_coding"	"FOXD4L6"
"protein_coding"	"CBWD6"
"lncRNA"	"AL845472.1"
"lncRNA"	"AL354718.2"
"lncRNA"	"AL591926.2"
"lncRNA"	"FAM242F"
"lncRNA"	"AL162731.1"
"protein_coding"	"CNTNAP3B"
"protein_coding"	"SPATA31A6"
"lncRNA"	"FAM74A7"
"lncRNA"	"AL445584.2"
"lncRNA"	"BX088651.4"
"lncRNA"	"BX088651.2"
"lncRNA"	"BX664718.1"
"protein_coding"	"SPATA31A5"
"lncRNA"	"AL590491.2"
"protein_coding"	"SPATA31A7"
"lncRNA"	"BX005040.3"
"lncRNA"	"BX005040.1"
"protein_coding"	"CNTNAP3C"
"lncRNA"	"FAM242D"
"lncRNA"	"AL935212.1"
"lncRNA"	"FAM27C"
"protein_coding"	"AL391987.2"
"protein_coding"	"AL391987.1"
"lncRNA"	"AL391987.4"
"lncRNA"	"AL391987.3"
"lncRNA"	"FAM242E"
"lncRNA"	"AL590399.3"
"lncRNA"	"AL590399.1"
"lncRNA"	"AL590399.5"
"lncRNA"	"LINC01189"
"lncRNA"	"BX005266.2"
"lncRNA"	"LINC01410"
"lncRNA"	"AL512625.3"
"lncRNA"	"AL512625.2"
"lncRNA"	"LERFS"
"lncRNA"	"AL512625.1"
"lncRNA"	"AL772155.1"
"lncRNA"	"CR786580.1"
"lncRNA"	"CR769776.3"
"protein_coding"	"ANKRD20A4"
"IG_V_pseudogene"	"IGKV1OR-2"
"IG_V_pseudogene"	"IGKV1OR9-1"
"protein_coding"	"FOXD4L5"
"lncRNA"	"FP326651.1"
"protein_coding"	"CBWD5"
"protein_coding"	"FOXD4L4"
"IG_V_pseudogene"	"IGKV1OR-3"
"lncRNA"	"AL136317.2"
"protein_coding"	"ANKRD20A3"
"protein_coding"	"ZNF658"
"lncRNA"	"AL353770.4"
"lncRNA"	"AL353770.3"
"protein_coding"	"SPATA31A3"
"lncRNA"	"BX664730.1"
"lncRNA"	"FAM27E3"
"protein_coding"	"AL627230.3"
"protein_coding"	"AL627230.1"
"protein_coding"	"ANKRD20A1"
"lncRNA"	"AL353608.2"
"protein_coding"	"CBWD3"
"protein_coding"	"FOXD4L3"
"lncRNA"	"AL353608.3"
"lncRNA"	"AL353608.1"
"protein_coding"	"PGM5"
"lncRNA"	"PGM5-AS1"
"lncRNA"	"AL161457.2"
"lncRNA"	"AL161457.1"
"protein_coding"	"TMEM252"
"lncRNA"	"TMEM252-DT"
"lncRNA"	"LINC01506"
"protein_coding"	"PIP5K1B"
"protein_coding"	"FAM122A"
"lncRNA"	"AL354794.1"
"protein_coding"	"PRKACG"
"protein_coding"	"FXN"
"protein_coding"	"TJP2"
"lncRNA"	"BANCR"
"protein_coding"	"FAM189A2"
"protein_coding"	"APBA1"
"lncRNA"	"AL355140.1"
"lncRNA"	"AL353693.1"
"lncRNA"	"AL162412.1"
"protein_coding"	"PTAR1"
"lncRNA"	"C9orf135-DT"
"protein_coding"	"C9orf135"
"lncRNA"	"MAMDC2-AS1"
"protein_coding"	"MAMDC2"
"lncRNA"	"SMC5-AS1"
"protein_coding"	"SMC5"
"lncRNA"	"AL162390.1"
"protein_coding"	"KLF9"
"protein_coding"	"TRPM3"
"lncRNA"	"AL159990.2"
"lncRNA"	"AL159990.1"
"protein_coding"	"CEMIP2"
"protein_coding"	"ABHD17B"
"protein_coding"	"C9orf85"
"protein_coding"	"C9orf57"
"lncRNA"	"AL583829.1"
"protein_coding"	"GDA"
"lncRNA"	"AL135924.2"
"lncRNA"	"LINC01504"
"protein_coding"	"ZFAND5"
"protein_coding"	"TMC1"
"lncRNA"	"LINC01474"
"protein_coding"	"ALDH1A1"
"protein_coding"	"ANXA1"
"lncRNA"	"AL451127.2"
"lncRNA"	"AL451127.1"
"lncRNA"	"AL355674.1"
"lncRNA"	"RORB-AS1"
"protein_coding"	"RORB"
"lncRNA"	"AL137018.1"
"protein_coding"	"TRPM6"
"protein_coding"	"C9orf40"
"lncRNA"	"CARNMT1-AS1"
"protein_coding"	"CARNMT1"
"lncRNA"	"AL158825.2"
"protein_coding"	"NMRK1"
"protein_coding"	"OSTF1"
"lncRNA"	"AL353780.1"
"protein_coding"	"PCSK5"
"protein_coding"	"RFK"
"protein_coding"	"GCNT1"
"protein_coding"	"PRUNE2"
"lncRNA"	"PCA3"
"lncRNA"	"AL353637.2"
"protein_coding"	"FOXB2"
"lncRNA"	"VPS13A-AS1"
"protein_coding"	"VPS13A"
"protein_coding"	"GNA14"
"lncRNA"	"GNA14-AS1"
"protein_coding"	"GNAQ"
"protein_coding"	"CEP78"
"protein_coding"	"PSAT1"
"lncRNA"	"AL512634.1"
"lncRNA"	"LNCARSR"
"protein_coding"	"TLE4"
"lncRNA"	"AL161912.1"
"lncRNA"	"AL161912.2"
"lncRNA"	"AL161782.1"
"lncRNA"	"LINC01507"
"lncRNA"	"AL138749.1"
"protein_coding"	"TLE1"
"lncRNA"	"AL591368.1"
"lncRNA"	"AL158154.2"
"protein_coding"	"SPATA31D4"
"lncRNA"	"AL158154.3"
"protein_coding"	"SPATA31D3"
"protein_coding"	"SPATA31D1"
"lncRNA"	"AL162726.1"
"lncRNA"	"AL162726.4"
"lncRNA"	"AL353774.1"
"protein_coding"	"RASEF"
"lncRNA"	"AL499602.1"
"lncRNA"	"AL137847.1"
"protein_coding"	"FRMD3"
"lncRNA"	"AL137847.2"
"protein_coding"	"IDNK"
"protein_coding"	"UBQLN1"
"lncRNA"	"AL354920.1"
"protein_coding"	"GKAP1"
"lncRNA"	"AL354733.1"
"lncRNA"	"AL354733.2"
"protein_coding"	"KIF27"
"protein_coding"	"C9orf64"
"protein_coding"	"HNRNPK"
"lncRNA"	"AL354733.3"
"protein_coding"	"RMI1"
"lncRNA"	"AL390838.1"
"protein_coding"	"SLC28A3"
"lncRNA"	"AL356134.1"
"lncRNA"	"AL157886.1"
"protein_coding"	"NTRK2"
"lncRNA"	"AL354897.1"
"lncRNA"	"AL354897.2"
"lncRNA"	"AL583827.1"
"protein_coding"	"AGTPBP1"
"lncRNA"	"AL157882.1"
"lncRNA"	"AL353743.2"
"protein_coding"	"NAA35"
"protein_coding"	"GOLM1"
"lncRNA"	"AL161447.2"
"protein_coding"	"C9orf153"
"protein_coding"	"ISCA1"
"protein_coding"	"TUT7"
"lncRNA"	"AL158828.1"
"lncRNA"	"AL353613.1"
"lncRNA"	"LINC02834"
"protein_coding"	"GAS1"
"lncRNA"	"GAS1RR"
"lncRNA"	"AL513318.2"
"lncRNA"	"C9orf170"
"lncRNA"	"AL353752.2"
"protein_coding"	"DAPK1"
"lncRNA"	"DAPK1-IT1"
"protein_coding"	"CTSL"
"lncRNA"	"AL772337.2"
"protein_coding"	"SPATA31E1"
"protein_coding"	"AL353572.3"
"protein_coding"	"CDK20"
"lncRNA"	"AL353572.4"
"lncRNA"	"AL353748.3"
"protein_coding"	"SPIN1"
"protein_coding"	"NXNL2"
"lncRNA"	"LINC02843"
"lncRNA"	"AL390791.1"
"lncRNA"	"AL772202.1"
"protein_coding"	"S1PR3"
